Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Urho Vaakanainen (13880376),Urho Vaakanainen,13880376,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,1.38
C,Gaetan Haas (13880130),Gaetan Haas,13880130,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,3.43
C,Tyler Graovac (13880132),Tyler Graovac,13880132,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,3.87
C,Jay Beagle (13880136),Jay Beagle,13880136,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,3.70
C,Cooper Marody (13880142),Cooper Marody,13880142,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
C,Bogdan Yakimov (13880144),Bogdan Yakimov,13880144,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
C,Zack MacEwen (13880146),Zack MacEwen,13880146,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,1.56
C,Kyle Brodziak (13880148),Kyle Brodziak,13880148,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
C,Colby Cave (13880154),Colby Cave,13880154,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,2.3
C,Reid Boucher (13880156),Reid Boucher,13880156,C/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
RW,Josh Archibald (13880218),Josh Archibald,13880218,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,2.12
LW,Markus Granlund (13880220),Markus Granlund,13880220,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,3.48
LW,Tim Schaller (13880222),Tim Schaller,13880222,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,3.96
RW,Patrick Russell (13880224),Patrick Russell,13880224,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,4.06
LW,Antoine Roussel (13880232),Antoine Roussel,13880232,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
LW,Joakim Nygard (13880238),Joakim Nygard,13880238,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,3.81
RW,Loui Eriksson (13880240),Loui Eriksson,13880240,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,2.37
LW,Micheal Ferland (13880242),Micheal Ferland,13880242,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,4.11
RW,Tyler Motte (13880244),Tyler Motte,13880244,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,3.82
RW,Kailer Yamamoto (13880252),Kailer Yamamoto,13880252,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
LW,Brad Malone (13880254),Brad Malone,13880254,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
RW,Josh Currie (13880256),Josh Currie,13880256,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
RW,Justin Bailey (13880260),Justin Bailey,13880260,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
LW,Nolan Vesey (13880264),Nolan Vesey,13880264,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
LW,Tomas Jurco (13880266),Tomas Jurco,13880266,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,2.03
LW,Tyler Benson (13880270),Tyler Benson,13880270,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
LW,Joseph Gambardella (13880272),Joseph Gambardella,13880272,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
LW,Sven Baertschi (13880274),Sven Baertschi,13880274,W/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,3.42
D,Troy Stecher (13880318),Troy Stecher,13880318,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,4.41
D,Caleb Jones (13880320),Caleb Jones,13880320,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,2.59
D,Jordie Benn (13880322),Jordie Benn,13880322,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,4.88
D,Brandon Manning (13880330),Brandon Manning,13880330,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,3.14
D,Oscar Fantenberg (13880332),Oscar Fantenberg,13880332,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
D,Brogan Rafferty (13880342),Brogan Rafferty,13880342,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
D,Joel Persson (13880344),Joel Persson,13880344,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,4.27
D,Ashton Sautner (13880346),Ashton Sautner,13880346,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,1.5
D,Evan Bouchard (13880350),Evan Bouchard,13880350,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
D,Keegan Lowe (13880352),Keegan Lowe,13880352,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
D,Philip Broberg (13880354),Philip Broberg,13880354,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
D,William Lagesson (13880356),William Lagesson,13880356,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
D,Jalen Chatfield (13880358),Jalen Chatfield,13880358,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
D,Josh Teves (13880362),Josh Teves,13880362,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
D,Nikita Tryamkin (13880366),Nikita Tryamkin,13880366,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
D,Guillaume Brisebois (13880368),Guillaume Brisebois,13880368,D/UTIL,2500,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
