"","ID","Name","Salary","Position","Points","C1","C2","W1","W2","W3","D1","D2","G","Util","Team","GameInfo"
"104",13880210,"Nick Cousins",2800,"LW",5.54,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"105",13880190,"Nick Suzuki",4100,"RW",6.22,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"106",13880366,"Nikita Tryamkin",2500,"D",0,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"107",13880214,"Nikolay Goldobin",2600,"RW",0,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"108",13880370,"Noah Juulsen",2500,"D",0,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"109",13880264,"Nolan Vesey",2500,"LW",0,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"110",13880332,"Oscar Fantenberg",2500,"D",0,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"111",13880282,"Oscar Klefbom",6000,"D",12.86,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"112",13880150,"Oskar Steen",2500,"C",0,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"113",13880134,"Par Lindholm",2500,"C",2.68,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"114",13880100,"Patrice Bergeron",7500,"C",14.16,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"115",13880224,"Patrick Russell",2500,"RW",4.06,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"116",13880200,"Paul Byron",3300,"LW",2.94,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"117",13880262,"Paul Carey",2500,"RW",1.3,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"118",13880278,"Peter Cehlarik",2500,"LW",2.53,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"119",13880276,"Phil Varone",2500,"LW",0,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"120",13880354,"Philip Broberg",2500,"D",0,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"121",13880112,"Phillip Danault",4300,"C",7.11,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"122",13880294,"Quinn Hughes",3900,"D",8.21,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"123",13880156,"Reid Boucher",2500,"C",0,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"124",13880128,"Riley Sheahan",2600,"C",2.24,1,1,0,0,0,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"125",13880108,"Ryan Nugent-Hopkins",4800,"C",9.09,1,1,0,0,0,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"126",13880164,"Ryan Poehling",2500,"C",2.48,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"127",13880120,"Sam Gagner",3000,"C",5.2,1,1,0,0,0,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"128",13880124,"Sean Kuraly",2800,"C",5.09,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"129",13880280,"Shea Weber",6200,"D",13.69,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"130",13880338,"Steven Kampfer",2500,"D",2.8,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"131",13880391,"Stuart Skinner",6500,"G",0,0,0,0,0,0,0,0,1,0,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"132",13880274,"Sven Baertschi",2500,"LW",3.42,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"133",13880194,"Tanner Pearson",3800,"LW",9.5,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"134",13880384,"Thatcher Demko",7500,"G",12.86,0,0,0,0,0,0,0,1,0,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"135",13880222,"Tim Schaller",2500,"LW",3.96,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"136",13880266,"Tomas Jurco",2500,"LW",2.03,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"137",13880174,"Tomas Tatar",5500,"LW",10.45,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"138",13880284,"Torey Krug",5800,"D",10.3,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"139",13880152,"Trent Frederic",2500,"C",0.75,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"140",13880318,"Troy Stecher",2500,"D",4.41,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"141",13880378,"Tuukka Rask",8400,"G",17.99,0,0,0,0,0,0,0,1,0,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"142",13880270,"Tyler Benson",2500,"LW",0,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"143",13880132,"Tyler Graovac",2500,"C",3.87,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"144",13880244,"Tyler Motte",2500,"RW",3.82,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"145",13880308,"Tyler Myers",2900,"D",5.65,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"146",13880376,"Urho Vaakanainen",2500,"D",1.38,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"147",13880304,"Victor Mete",3200,"D",6.3,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"148",13880356,"William Lagesson",2500,"D",0,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"149",13880372,"Xavier Ouellet",2500,"D",0,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"150",13880248,"Zach Senyshyn",2500,"RW",3.2,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"151",13880182,"Zack Kassian",4500,"RW",7.38,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"152",13880146,"Zack MacEwen",2500,"C",1.56,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"153",13880386,"Zane McIntyre",7300,"G",0,0,0,0,0,0,0,0,1,0,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"154",13880290,"Zdeno Chara",4200,"D",8.58,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
